Warning this test is running in real-time and may be flaky.
FAIL - "webkitTransform.5" property for "box" element at 0.4s expected: 0 but saw: matrix(1, 0, 0, 1, 400, 100)

Log:
9.127000000034968 - runAnimationTest
10.711000000014792 - First webkitAnimationStart event fired
10.740000000055261 - Finished waiting for animations to start
289.83500000003914 - RAF callback, animation time: 279.0830000000142
290.9379999999828 - RAF callback, animation time: 280.1849999999604
292.0480000000225 - RAF callback, animation time: 281.29599999999755
293.1509999999662 - RAF callback, animation time: 282.3989999999412
294.236000000069 - RAF callback, animation time: 283.48399999993035
295.3220000000556 - RAF callback, animation time: 284.57000000003063
296.5560000000096 - RAF callback, animation time: 285.79899999999725
297.67600000002403 - RAF callback, animation time: 286.92399999999907
298.82499999996526 - RAF callback, animation time: 288.0529999999908
299.94299999998475 - RAF callback, animation time: 289.1899999999623
301.08900000004724 - RAF callback, animation time: 290.3370000000223
302.2080000000642 - RAF callback, animation time: 291.45600000003924
303.3340000000635 - RAF callback, animation time: 292.58100000004106
304.46600000004764 - RAF callback, animation time: 293.7140000000227
305.5699999999888 - RAF callback, animation time: 294.81799999996383
306.699999999978 - RAF callback, animation time: 295.947999999953
307.82299999998486 - RAF callback, animation time: 297.0699999999624
308.9459999999917 - RAF callback, animation time: 298.19399999996676
310.0680000000011 - RAF callback, animation time: 299.31599999997616
311.1940000000004 - RAF callback, animation time: 300.440999999978
312.3470000000452 - RAF callback, animation time: 301.5940000000228
313.4860000000117 - RAF callback, animation time: 302.73299999998926
314.6360000000641 - RAF callback, animation time: 303.88299999992796
315.76700000005076 - RAF callback, animation time: 305.0150000000258
316.9149999999945 - RAF callback, animation time: 306.1609999999746
318.06300000005194 - RAF callback, animation time: 307.3100000000295
319.22099999997045 - RAF callback, animation time: 308.46699999995053
320.3760000000102 - RAF callback, animation time: 309.62299999998777
321.52400000006764 - RAF callback, animation time: 310.76199999995424
322.61700000003657 - RAF callback, animation time: 311.86400000001413
323.7290000000712 - RAF callback, animation time: 312.97699999993256
324.84999999996944 - RAF callback, animation time: 314.0979999999445
325.97099999998136 - RAF callback, animation time: 315.2189999999564
327.0899999999983 - RAF callback, animation time: 316.3369999999759
328.21899999999005 - RAF callback, animation time: 317.4619999999777
329.35199999997167 - RAF callback, animation time: 318.5999999999467
330.47799999997096 - RAF callback, animation time: 319.725999999946
331.63200000001325 - RAF callback, animation time: 320.8799999999883
332.75400000002264 - RAF callback, animation time: 322.0019999999977
333.87500000003456 - RAF callback, animation time: 323.1220000000121
335.0000000000364 - RAF callback, animation time: 324.2480000000114
336.1210000000483 - RAF callback, animation time: 325.36900000002333
337.24500000005264 - RAF callback, animation time: 326.4930000000277
338.37000000005446 - RAF callback, animation time: 327.617000000032
339.4590000000335 - RAF callback, animation time: 328.7070000000085
340.60699999997723 - RAF callback, animation time: 329.8499999999649
341.7450000000599 - RAF callback, animation time: 330.9920000000375
342.84999999999854 - RAF callback, animation time: 332.0969999999761
343.96400000002814 - RAF callback, animation time: 333.1879999999501
345.0310000000627 - RAF callback, animation time: 334.27900000003774
346.1220000000367 - RAF callback, animation time: 335.3700000000117
347.2120000000132 - RAF callback, animation time: 336.4599999999882
348.3019999999897 - RAF callback, animation time: 337.54899999996724
349.3899999999712 - RAF callback, animation time: 338.6369999999488
350.47800000006646 - RAF callback, animation time: 339.7259999999278
351.56800000004296 - RAF callback, animation time: 340.816000000018
352.65900000001693 - RAF callback, animation time: 341.90699999999197
353.74899999999343 - RAF callback, animation time: 342.99699999996847
354.8399999999674 - RAF callback, animation time: 344.08699999994496
355.9300000000576 - RAF callback, animation time: 345.1780000000326
357.0150000000467 - RAF callback, animation time: 346.2620000000243
358.10300000002826 - RAF callback, animation time: 347.3510000000033
359.1959999999972 - RAF callback, animation time: 348.43899999998484
360.2809999999863 - RAF callback, animation time: 349.52799999996387
361.36899999996785 - RAF callback, animation time: 350.6169999999429
362.45800000006057 - RAF callback, animation time: 351.7060000000356
363.5470000000396 - RAF callback, animation time: 352.7950000000146
364.6360000000186 - RAF callback, animation time: 353.88399999999365
365.7259999999951 - RAF callback, animation time: 354.97299999997267
366.8159999999716 - RAF callback, animation time: 356.06399999994665
367.9090000000542 - RAF callback, animation time: 357.15700000002926
368.9990000000307 - RAF callback, animation time: 358.24700000000576
370.07900000003247 - RAF callback, animation time: 359.3270000000075
371.17299999999886 - RAF callback, animation time: 360.4199999999764
372.2460000000183 - RAF callback, animation time: 361.4939999999933
373.32900000001246 - RAF callback, animation time: 362.5769999999875
374.463999999989 - RAF callback, animation time: 363.71199999996406
375.58000000001357 - RAF callback, animation time: 364.8279999999886
376.70300000002044 - RAF callback, animation time: 365.9509999999955
377.81600000005255 - RAF callback, animation time: 367.0630000000301
378.92999999996846 - RAF callback, animation time: 368.1779999999435
380.0469999999905 - RAF callback, animation time: 369.2949999999655
381.15800000002764 - RAF callback, animation time: 370.4060000000027
382.26700000006986 - RAF callback, animation time: 371.5149999999312
383.37300000000596 - RAF callback, animation time: 372.6199999999835
384.4780000000583 - RAF callback, animation time: 373.72500000003583
385.5859999999893 - RAF callback, animation time: 374.83399999996436
386.6920000000391 - RAF callback, animation time: 375.9390000000167
387.80099999996764 - RAF callback, animation time: 377.0479999999452
388.9080000000149 - RAF callback, animation time: 378.15599999998994
390.0220000000445 - RAF callback, animation time: 379.26500000003216
391.1200000000008 - RAF callback, animation time: 380.36799999997584
392.22700000004806 - RAF callback, animation time: 381.4750000000231
393.31700000002456 - RAF callback, animation time: 382.5649999999996
394.42700000006425 - RAF callback, animation time: 383.67299999993065
395.51700000004075 - RAF callback, animation time: 384.7650000000158
396.60700000001725 - RAF callback, animation time: 385.8549999999923
397.7069999999685 - RAF callback, animation time: 386.95499999994354
398.7930000000688 - RAF callback, animation time: 388.04099999993014
399.95299999998224 - RAF callback, animation time: 389.2009999999573
401.07499999999163 - RAF callback, animation time: 390.3219999999692
402.1979999999985 - RAF callback, animation time: 391.44599999997354
403.32999999998265 - RAF callback, animation time: 392.5779999999577
404.4700000000603 - RAF callback, animation time: 393.7180000000353
405.6030000000419 - RAF callback, animation time: 394.85100000001694
406.7380000000185 - RAF callback, animation time: 395.9859999999935
407.82500000000255 - RAF callback, animation time: 397.07399999997506
408.97100000006503 - RAF callback, animation time: 398.2179999999289
410.1030000000492 - RAF callback, animation time: 399.3510000000242
411.2480000000005 - RAF callback, animation time: 400.49599999997554
411.26500000007127 - Running checks for time: 400, delay: 0.49599999997553823
411.3360000000057 - Checking expectation: [null,0.4,"box","webkitTransform.5",0,0]
412.24099999999453 - Ending test
