Warning this test is running in real-time and may be flaky.
FAIL - "webkitTransform.5" property for "box" element at 0.4s expected: 0 but saw: matrix(1, 0, 0, 1, 400, 100)

Log:
17.170999999962078 - runAnimationTest
19.709999999918182 - First webkitAnimationStart event fired
19.780999999966298 - Finished waiting for animations to start
316.39399999994566 - RAF callback, animation time: 296.5790000000652
317.52499999993233 - RAF callback, animation time: 297.7100000000519
318.6679999998887 - RAF callback, animation time: 298.85300000000825
319.8059999999714 - RAF callback, animation time: 299.9849999999924
320.9549999999126 - RAF callback, animation time: 301.14000000003216
322.1379999999954 - RAF callback, animation time: 302.3239999999987
323.270999999977 - RAF callback, animation time: 303.45599999998285
324.4159999999283 - RAF callback, animation time: 304.60200000004534
325.5459999999175 - RAF callback, animation time: 305.73200000003453
326.67799999990166 - RAF callback, animation time: 306.8630000000212
327.8099999999995 - RAF callback, animation time: 307.9960000000028
328.95699999994577 - RAF callback, animation time: 309.1430000000628
330.13499999992746 - RAF callback, animation time: 310.3210000000445
331.2669999999116 - RAF callback, animation time: 311.4530000000286
332.3999999998932 - RAF callback, animation time: 312.58500000001277
333.533999999986 - RAF callback, animation time: 313.71899999999187
334.6689999999626 - RAF callback, animation time: 314.8540000000821
335.8009999999467 - RAF callback, animation time: 315.98700000006374
336.9469999998955 - RAF callback, animation time: 317.13200000001507
338.121000000001 - RAF callback, animation time: 318.3050000000094
339.19699999989916 - RAF callback, animation time: 319.3830000000162
340.328999999997 - RAF callback, animation time: 320.5150000000003
341.4619999999786 - RAF callback, animation time: 321.64799999998195
342.5929999999653 - RAF callback, animation time: 322.7790000000823
343.72399999995196 - RAF callback, animation time: 323.910000000069
344.8569999999336 - RAF callback, animation time: 325.0430000000506
345.9889999999177 - RAF callback, animation time: 326.17500000003474
347.1199999999044 - RAF callback, animation time: 327.3060000000214
348.26699999996436 - RAF callback, animation time: 328.4520000000839
349.3989999999485 - RAF callback, animation time: 329.5850000000655
350.5289999999377 - RAF callback, animation time: 330.7150000000547
351.65999999992437 - RAF callback, animation time: 331.8460000000414
352.7919999999085 - RAF callback, animation time: 332.97800000002553
353.92699999999877 - RAF callback, animation time: 334.1130000000021
355.0599999999804 - RAF callback, animation time: 335.2459999999837
356.19199999996454 - RAF callback, animation time: 336.37800000008156
357.3239999999487 - RAF callback, animation time: 337.5090000000682
358.4569999999303 - RAF callback, animation time: 338.6430000000473
359.59299999990435 - RAF callback, animation time: 339.77900000002137
360.72699999999713 - RAF callback, animation time: 340.91300000000047
361.8579999999838 - RAF callback, animation time: 342.0449999999846
362.98999999996795 - RAF callback, animation time: 343.17600000008497
364.12299999994957 - RAF callback, animation time: 344.3080000000691
365.2719999998908 - RAF callback, animation time: 345.4580000000078
366.40299999999115 - RAF callback, animation time: 346.5889999999945
367.546999999945 - RAF callback, animation time: 347.733000000062
368.7079999999696 - RAF callback, animation time: 348.89300000008916
369.83599999996386 - RAF callback, animation time: 350.01099999999497
370.9529999999859 - RAF callback, animation time: 351.1389999999892
372.1009999999296 - RAF callback, animation time: 352.28700000004665
373.2349999999087 - RAF callback, animation time: 353.42000000002827
374.3779999999788 - RAF callback, animation time: 354.5520000000124
375.5109999999604 - RAF callback, animation time: 355.6970000000774
376.64299999994455 - RAF callback, animation time: 356.82900000006157
377.7749999999287 - RAF callback, animation time: 357.9610000000457
385.9539999999697 - RAF callback, animation time: 366.12400000001344
387.04299999994873 - RAF callback, animation time: 367.2280000000683
388.2089999999607 - RAF callback, animation time: 368.39400000008027
389.34099999994487 - RAF callback, animation time: 369.5260000000644
390.47899999991387 - RAF callback, animation time: 370.6650000000309
391.6279999999688 - RAF callback, animation time: 371.8130000000883
392.7729999999201 - RAF callback, animation time: 372.95800000003965
393.9179999999851 - RAF callback, animation time: 374.10399999998845
395.0519999999642 - RAF callback, animation time: 375.23700000008375
396.1869999999408 - RAF callback, animation time: 376.3720000000603
397.3189999999249 - RAF callback, animation time: 377.50500000004195
398.452999999904 - RAF callback, animation time: 378.63800000002357
399.599999999964 - RAF callback, animation time: 379.786000000081
400.7809999999381 - RAF callback, animation time: 380.96600000005765
